Latitude,Longitude,Altitude,Vertical Speed,MTE_Value,RA
  47.510004,-122.286424, 1275, 2432,  47.510004, RA: Maintain vertical Speed
  47.509552,-122.286072, 1300, 2304,  47.509552, RA: Maintain vertical Speed
  47.508514,-122.285297, 1350, 2368,  47.508514, Clear of Conflict
  47.503393,-122.281494, 1600, 3392,  47.503393, Clear of Conflict
  47.497853,-122.277198, 1900, 3520,  47.497853, Clear of Conflict
  47.491802,-122.272339, 2250, 3712,  47.491802, Clear of Conflict
  47.486774,-122.268113, 2575, 4096,  47.486774, Clear of Conflict
           ,           ,     ,     ,           , Clear of Conflict
  29.408524, -95.386417, 3075,    0,  29.408524, RA: Climb
  29.407745, -95.385414, 3075,    0,  29.407745, RA: Climb
  29.407288, -95.384780, 3075,    0,  29.407288, RA: Climb
  29.406397, -95.383678, 3075,    0,  29.406397, RA: Climb
  29.406052, -95.383195, 3075,  320,  29.406052, RA: Climb
  29.405548, -95.382561, 3075, 1024,  29.405548, RA: Climb
  29.404816, -95.381558, 3100, 1920,  29.404816, RA: Climb
  29.404816, -95.381558, 3100, 1920,  29.404816, RA: Climb
  29.404037, -95.380607, 3125, 2496,  29.404037, RA: Climb
  29.404037, -95.380607, 3125, 2496,  29.404037, RA: Climb
  29.403650, -95.380070, 3125, 2496,  29.403650, RA: Climb
  29.403371, -95.379693, 3150, 2496,  29.403371, RA: Climb
  29.402985, -95.379234, 3150, 3072,  29.402985, RA: Climb
  29.402985, -95.379234, 3150, 3072,  29.402985, RA: Climb
  29.402300, -95.378346, 3200, 3328,  29.402300, RA: Climb
  29.401932, -95.377860, 3225, 3200,  29.401932, RA: Climb
  29.401199, -95.376910, 3275, 3008,  29.401199, RA: Climb
  29.401199, -95.376910, 3275, 3008,  29.401199, RA: Climb
  29.400467, -95.375959, 3325, 2880,  29.400467, RA: Climb
  29.400112, -95.375492, 3350, 2880,  29.400112, RA: Climb
  29.400112, -95.375492, 3350, 2880,  29.400112, RA: Climb
  29.399460, -95.374638, 3375, 2880,  29.399460, RA: Climb
  29.399460, -95.374638, 3375, 2880,  29.399460, RA: Climb
  29.398669, -95.373661, 3425, 2880,  29.398669, RA: Climb
  29.398315, -95.373160, 3450, 2880,  29.398315, RA: Climb
  29.397629, -95.372262, 3500, 2944,  29.397629, RA: Climb
  29.396807, -95.371291, 3550, 2944,  29.396807, RA: Climb
  29.396388, -95.370753, 3575, 2816,  29.396388, RA: Level Off
  29.395690, -95.369837, 3625, 2496,  29.395690, RA: Level Off
  29.394852, -95.368760, 3675, 1984,  29.394852, RA: Level Off
  29.394433, -95.368275, 3700, 1408,  29.394433, RA: Level Off
  29.394104, -95.367825, 3700,  832,  29.394104, RA: Level Off
  29.393372, -95.366927, 3725,  832,  29.393372, RA: Level Off
  29.393372, -95.366927, 3725,  832,  29.393372, RA: Level Off
  29.392685, -95.366029, 3750,  256,  29.392685, RA: Level Off
  29.392410, -95.365659, 3750,  256,  29.392410, RA: Level Off
  29.391640, -95.364667, 3775,   64,  29.391640, RA: Level Off
  29.391640, -95.364667, 3775,   64,  29.391640, RA: Level Off
  29.391266, -95.364233, 3775,   64,  29.391266, RA: Level Off
  29.390579, -95.363335, 3775, -128,  29.390579, RA: Level Off
  29.389917, -95.362513, 3775, -192,  29.389917, RA: Level Off
  29.389498, -95.361974, 3775,  -64,  29.389498, RA: Level Off
  29.389498, -95.361974, 3775,  -64,  29.389498, RA: Level Off
  29.388754, -95.361059, 3775,  128,  29.388754, Clear of Conflict
  29.385223, -95.356574, 3800,  896,  29.385223, Clear of Conflict
  29.381259, -95.351580, 3875,  896,  29.381259, Clear of Conflict
  29.377258, -95.346592, 3925, -256,  29.377258, Clear of Conflict
  29.372879, -95.341133, 3875, -768,  29.372879, Clear of Conflict
           ,           ,     ,     ,           , RA: Level Off
           ,           ,     ,     ,           , Clear of Conflict
           ,           ,     ,     ,           , RA: Maintain vertical Speed; Crossing Maintain
  32.984528, -96.762524, 3075,   64,  32.984528, RA: Monitor vertical Speed; TIDh: ad49d9
  32.983843, -96.762141, 3075,   64,  32.983843, RA: Monitor vertical Speed; TIDh: ad49d9
  32.983098, -96.761749, 3075,   64,  32.983098, RA: Monitor vertical Speed; TIDh: ad49d9
  32.982633, -96.761524, 3075,   64,  32.982633, RA: Monitor vertical Speed; TIDh: ad49d9
  32.982633, -96.761524, 3075,    0,  32.982633, RA: Monitor vertical Speed; TIDh: ad49d9
  32.981461, -96.760876, 3075,    0,  32.981461, RA: Monitor vertical Speed; TIDh: ad49d9
  32.979538, -96.759888, 3075,    0,  32.979538, RA: Monitor vertical Speed; TIDh: ad49d9
  32.978302, -96.759229, 3075,    0,  32.978302, RA: Monitor vertical Speed; TIDh: ad49d9
  32.977386, -96.758734, 3075,    0,  32.977386, RA: Monitor vertical Speed; TIDh: ad49d9
  32.976255, -96.758105, 3075,    0,  32.976255, RA: Monitor vertical Speed; TIDh: ad49d9
  32.975418, -96.757690, 3075,    0,  32.975418, RA: Monitor vertical Speed; TIDh: ad49d9
  32.975418, -96.757690, 3075,    0,  32.975418, RA: Monitor vertical Speed; TIDh: ad49d9
  32.974960, -96.757416, 3075,    0,  32.974960, RA: Monitor vertical Speed; TIDh: ad49d9
  32.974254, -96.757096, 3075,   64,  32.974254, RA: Monitor vertical Speed; TIDh: ad49d9
  32.973862, -96.756866, 3075,   64,  32.973862, RA: Monitor vertical Speed; TIDh: ad49d9
  32.972252, -96.756087, 3075,   64,  32.972252, RA: Monitor vertical Speed; TIDh: ad49d9
  32.971786, -96.755919, 3075,   64,  32.971786, RA: Monitor vertical Speed; TIDh: ad49d9
  32.970995, -96.755583, 3075,   64,  32.970995, RA: Monitor vertical Speed; TIDh: ad49d9
  32.970108, -96.755273, 3075,   64,  32.970108, RA: Monitor vertical Speed; TIDh: ad49d9
  32.969691, -96.755134, 3075,   64,  32.969691, RA: Monitor vertical Speed; TIDh: ad49d9
  32.968643, -96.754889, 3075,   64,  32.968643, RA: Monitor vertical Speed; TIDh: ad49d9
  32.968202, -96.754742, 3075,   64,  32.968202, RA: Monitor vertical Speed; TIDh: ad49d9
  32.967453, -96.754614, 3075,   64,  32.967453, RA: Monitor vertical Speed; TIDh: ad49d9
  32.967038, -96.754518, 3075,   64,  32.967038, RA: Monitor vertical Speed; TIDh: ad49d9
  32.966309, -96.754340, 3075,   64,  32.966309, RA: Monitor vertical Speed; TIDh: ad49d9
  32.965548, -96.754238, 3075,   64,  32.965548, RA: Monitor vertical Speed; TIDh: ad49d9
  32.964710, -96.754069, 3075,   64,  32.964710, Clear of Conflict; TIDh: ad49d9
  32.960148, -96.753453, 3075,   64,  32.960148, Clear of Conflict; TIDh: ad49d9
  32.955586, -96.752892, 3075,    0,  32.955586, Clear of Conflict; TIDh: ad49d9
  32.950791, -96.752388, 3075,  -64,  32.950791, Clear of Conflict; TIDh: ad49d9
           ,           ,     ,     ,           , RA multithreat: climb required; descent required; crossing;      reduce/limit vertical rate
           ,           ,     ,     ,           , RA: Maintain vertical Speed; Crossing Maintain
  32.751755, -96.745715, 2275,  128,  32.751755, RA: Climb; TIDh: a05458
  32.752304, -96.746704, 2275,  128,  32.752304, RA: Climb; TIDh: a05458
  32.752618, -96.747175, 2275,  128,  32.752618, RA: Climb; TIDh: a05458
  32.753130, -96.748016, 2275,  128,  32.753130, RA: Climb; TIDh: a05458
  32.753677, -96.748901, 2300,  128,  32.753677, RA: Climb; TIDh: a05458
  32.753952, -96.749286, 2300,  128,  32.753952, RA: Climb; TIDh: a05458
  32.754480, -96.750090, 2300,  128,  32.754480, RA: Climb; TIDh: a05458
  32.754776, -96.750494, 2300,  128,  32.754776, RA: Climb; TIDh: a05458
  32.755272, -96.751267, 2300,  640,  32.755272, RA: Climb; TIDh: a05458
  32.755598, -96.751715, 2300,  640,  32.755598, RA: Climb; TIDh: a05458
  32.756203, -96.752556, 2325,  640,  32.756203, RA: Climb; TIDh: a05458
  32.756470, -96.752911, 2325,  960,  32.756470, RA: Climb; TIDh: a05458
  32.756699, -96.753241, 2350,  960,  32.756699, RA: Climb; TIDh: a05458
  32.756994, -96.753621, 2350,  960,  32.756994, RA: Climb; TIDh: a05458
  32.757294, -96.754010, 2375,  960,  32.757294, RA: Climb; TIDh: a05458
  32.757294, -96.754010, 2375,  960,  32.757294, RA: Climb; TIDh: a05458
  32.757889, -96.754779, 2400,  960,  32.757889, RA: Climb; TIDh: a05458
  32.758118, -96.755109, 2400,  960,  32.758118, RA: Climb; TIDh: a05458
  32.758437, -96.755527, 2400,  960,  32.758437, Clear of Conflict; TIDh: a05458
  32.761463, -96.759282, 2500,  896,  32.761463, Clear of Conflict; TIDh: a05458
  32.764256, -96.762758, 2500, -448,  32.764256, Clear of Conflict; TIDh: a05458
  32.773427, -96.734675, 2275,   64,  32.773427, RA: Monitor vertical Speed; TIDh: a05458
  32.773270, -96.736047, 2275,   64,  32.773270, RA: Monitor vertical Speed; TIDh: a05458
  32.767468, -96.766793, 2425, -768,  32.767468, Clear of Conflict; TIDh: a05458
  32.773132, -96.737091, 2275,   64,  32.773132, RA: Monitor vertical Speed; TIDh: a05458
  32.773087, -96.737640, 2275,   64,  32.773087, RA: Monitor vertical Speed; TIDh: a05458
  32.772962, -96.738879, 2275,  -64,  32.772962, RA: Monitor vertical Speed; TIDh: a05458
  32.772903, -96.739508, 2275,  -64,  32.772903, RA: Monitor vertical Speed; TIDh: a05458
  32.772822, -96.740112, 2275,  -64,  32.772822, RA: Monitor vertical Speed; TIDh: a05458
  32.772822, -96.740112, 2275,  -64,  32.772822, RA: Monitor vertical Speed; TIDh: a05458
  32.772682, -96.741738, 2275,  -64,  32.772682, RA: Monitor vertical Speed; TIDh: a05458
  32.772636, -96.742298, 2275,  -64,  32.772636, RA: Monitor vertical Speed; TIDh: a05458
  32.770634, -96.770605, 2350, -768,  32.770634, Clear of Conflict; TIDh: a05458
  32.772589, -96.743588, 2275,  -64,  32.772589, RA: Monitor vertical Speed; TIDh: a05458
  32.772589, -96.743588, 2275,  -64,  32.772589, RA: Monitor vertical Speed; TIDh: a05458
  32.772543, -96.744316, 2275,  -64,  32.772543, RA: Monitor vertical Speed; TIDh: a05458
  32.772543, -96.744821, 2275,  -64,  32.772543, RA: Monitor vertical Speed; TIDh: a05458
  32.772543, -96.746166, 2275,  -64,  32.772543, RA: Monitor vertical Speed; TIDh: a05458
  32.772537, -96.747363, 2275,  -64,  32.772537, RA: Monitor vertical Speed; TIDh: a05458
  32.772589, -96.747904, 2275,  -64,  32.772589, RA: Monitor vertical Speed; TIDh: a05458
  32.772636, -96.749025, 2275,  -64,  32.772636, RA: Monitor vertical Speed; TIDh: a05458
  32.772675, -96.750110, 2275,  -64,  32.772675, RA: Monitor vertical Speed; TIDh: a05458
  32.772775, -96.751323, 2275,  -64,  32.772775, RA: Monitor vertical Speed; TIDh: a05458
  32.772822, -96.751883, 2275,  -64,  32.772822, RA: Monitor vertical Speed; TIDh: a05458
  32.772962, -96.753060, 2275,  -64,  32.772962, RA: Monitor vertical Speed; TIDh: a05458
  32.773008, -96.753733, 2275,  -64,  32.773008, RA: Monitor vertical Speed; TIDh: a05458
  32.773178, -96.754889, 2275,  -64,  32.773178, Clear of Conflict; TIDh: a05458
  32.774780, -96.761261, 2275,  -64,  32.774780, Clear of Conflict; TIDh: a05458
  32.777757, -96.766905, 2250,  -64,  32.777757, Clear of Conflict; TIDh: a05458
  32.781434, -96.771165, 2150,  -64,  32.781434, Clear of Conflict; TIDh: a05458
